거래년도,거래분기,시,구,동,업무용_실거래가_연면적당평균(만원/㎡)
2014,1Q,성남,분당구,구미동,354.01213755900204
2014,1Q,성남,분당구,궁내동,268.6005909213
2014,1Q,성남,분당구,금곡동,268.1013277420383
2014,1Q,성남,분당구,삼평동,436.9637539461774
2014,1Q,성남,분당구,서현동,610.0693386766866
2014,1Q,성남,분당구,수내동,401.6409410818047
2014,1Q,성남,분당구,야탑동,281.08844161657333
2014,1Q,성남,분당구,정자동,559.7467148877927
2014,2Q,성남,분당구,구미동,443.84679612465453
2014,2Q,성남,분당구,금곡동,385.4728149352269
2014,2Q,성남,분당구,삼평동,419.7887514670037
2014,2Q,성남,분당구,서현동,335.39731682146544
2014,2Q,성남,분당구,수내동,321.4235206747417
2014,2Q,성남,분당구,야탑동,339.42955478547526
2014,2Q,성남,분당구,운중동,504.81430536451165
2014,2Q,성남,분당구,정자동,452.140886738291
2014,3Q,성남,분당구,구미동,501.35038996278286
2014,3Q,성남,분당구,금곡동,420.16806722689074
2014,3Q,성남,분당구,삼평동,706.8161023439302
2014,3Q,성남,분당구,서현동,421.3591425919287
2014,3Q,성남,분당구,수내동,358.9114495205866
2014,3Q,성남,분당구,야탑동,399.5324223883749
2014,3Q,성남,분당구,운중동,263.5335456242451
2014,4Q,성남,분당구,구미동,332.86344204499187
2014,4Q,성남,분당구,금곡동,340.40487254621394
2014,4Q,성남,분당구,삼평동,495.62039917013726
2014,4Q,성남,분당구,서현동,518.8212454155234
2014,4Q,성남,분당구,수내동,354.41581713607667
2014,4Q,성남,분당구,야탑동,202.09307324179522
2014,4Q,성남,분당구,정자동,450.5865195024415
2015,1Q,성남,분당구,구미동,165.62109469481518
2015,1Q,성남,분당구,금곡동,381.7497872134529
2015,1Q,성남,분당구,삼평동,600.4168607905966
2015,1Q,성남,분당구,서현동,435.2451667271425
2015,1Q,성남,분당구,수내동,661.6371889949902
2015,1Q,성남,분당구,야탑동,434.9669951944599
2015,1Q,성남,분당구,운중동,312.5
2015,1Q,성남,분당구,정자동,1195.6075101417757
2015,2Q,성남,분당구,구미동,147.00148738715654
2015,2Q,성남,분당구,금곡동,223.38427171650505
2015,2Q,성남,분당구,삼평동,2351.697973926355
2015,2Q,성남,분당구,서현동,335.3192242724015
2015,2Q,성남,분당구,야탑동,299.7527381998093
2015,2Q,성남,분당구,정자동,450.33062051981574
2015,3Q,성남,분당구,구미동,344.0366972477064
2015,3Q,성남,분당구,금곡동,364.1795210016377
2015,3Q,성남,분당구,삼평동,1352.1020957964902
2015,3Q,성남,분당구,서현동,360.82656700790284
2015,3Q,성남,분당구,야탑동,307.98125949179274
2015,3Q,성남,분당구,정자동,465.45786146354413
2015,4Q,성남,분당구,구미동,680.4075768439724
2015,4Q,성남,분당구,금곡동,331.6382931682512
2015,4Q,성남,분당구,삼평동,716.6239051579226
2015,4Q,성남,분당구,서현동,346.47150105410157
2015,4Q,성남,분당구,수내동,530.4383031845356
2015,4Q,성남,분당구,야탑동,378.8570631828656
2015,4Q,성남,분당구,운중동,226.52134949826163
2015,4Q,성남,분당구,이매동,334.48787728847105
2015,4Q,성남,분당구,정자동,362.92000445337777
2016,1Q,성남,분당구,구미동,309.7345132743363
2016,1Q,성남,분당구,금곡동,370.85811410655924
2016,1Q,성남,분당구,삼평동,474.2367631365134
2016,1Q,성남,분당구,서현동,339.2027201155916
2016,1Q,성남,분당구,수내동,412.6550739101134
2016,1Q,성남,분당구,야탑동,260.5419089837327
2016,1Q,성남,분당구,운중동,246.51050486485758
2016,1Q,성남,분당구,정자동,449.22486479839364
2016,2Q,성남,분당구,구미동,307.22621955640403
2016,2Q,성남,분당구,금곡동,429.10083869709376
2016,2Q,성남,분당구,삼평동,534.3349737527685
2016,2Q,성남,분당구,서현동,262.8013430361767
2016,2Q,성남,분당구,야탑동,129.15324549190595
2016,2Q,성남,분당구,정자동,495.0132214354526
2016,3Q,성남,분당구,구미동,1595.9123125340748
2016,3Q,성남,분당구,금곡동,284.47506059446357
2016,3Q,성남,분당구,서현동,537.9231311180838
2016,3Q,성남,분당구,수내동,337.979517153368
2016,3Q,성남,분당구,야탑동,337.81989051348086
2016,3Q,성남,분당구,정자동,762.2886759080252
2016,4Q,성남,분당구,구미동,548.4687241105669
2016,4Q,성남,분당구,금곡동,570.8832205448551
2016,4Q,성남,분당구,삼평동,1429.9377617818805
2016,4Q,성남,분당구,서현동,585.614349070487
2016,4Q,성남,분당구,수내동,405.5543397562478
2016,4Q,성남,분당구,야탑동,406.9849212663359
2016,4Q,성남,분당구,이매동,298.5172549534182
2016,4Q,성남,분당구,정자동,454.6314350585067
2017,1Q,성남,분당구,구미동,716.301831732958
2017,1Q,성남,분당구,궁내동,257.25184068127385
